split,domain,coverage_transition,system,n_gold_occurrences,gold_occurrence_seed_cells,recovered_seed_cells,recovery_rate_percent,recovery_ci_lower_percent,recovery_ci_upper_percent,minimum_n_met,delta_vs_text_pp,delta_ci_lower_pp,delta_ci_upper_pp
test,IEEE,Proxy-completed from zero,TEXT,402,1206,280,23.217247097844112,19.666666666666664,26.923150266971778,1,0.0,0.0,0.0
test,IEEE,Proxy-completed from zero,CogAlign,402,1206,347,28.77280265339967,24.889847941077168,32.739796309793235,1,5.555555555555555,3.6752136752136755,7.518796992481203
test,IEEE,Proxy-completed from zero,ET-ATT,402,1206,361,29.933665008291875,26.13455399061033,33.84615384615385,1,6.7164179104477615,4.645476772616137,8.776172567724577
test,IEEE,Proxy-completed from partial,TEXT,65,195,55,28.205128205128204,17.989417989417987,38.57142857142858,1,0.0,0.0,0.0
test,IEEE,Proxy-completed from partial,CogAlign,65,195,67,34.35897435897436,23.636363636363637,45.198064809403206,1,6.153846153846154,1.1299435028248588,11.442786069651742
test,IEEE,Proxy-completed from partial,ET-ATT,65,195,64,32.82051282051282,22.02352875112309,43.58974358974359,1,4.615384615384615,-0.4694835680751174,9.630434782608685
test,IEEE,Directly covered,TEXT,2,6,1,16.666666666666668,0.0,33.33333333333333,0,0.0,0.0,0.0
test,IEEE,Directly covered,CogAlign,2,6,0,0.0,0.0,0.0,0,-16.666666666666668,-33.33333333333333,0.0
test,IEEE,Directly covered,ET-ATT,2,6,0,0.0,0.0,0.0,0,-16.666666666666668,-33.33333333333333,0.0
test,LIS,Proxy-completed from zero,TEXT,353,1059,331,31.25590179414542,26.552011838919615,36.111292428198425,1,0.0,0.0,0.0
test,LIS,Proxy-completed from zero,CogAlign,353,1059,397,37.48819641170916,32.87162075510414,42.22874649922938,1,6.232294617563739,3.956398751203073,8.645290218360072
test,LIS,Proxy-completed from zero,ET-ATT,353,1059,335,31.633616619452315,26.890603652905302,36.40469738030714,1,0.3777148253068933,-1.4792899408284024,2.2522522522522523
test,LIS,Directly covered,TEXT,22,66,6,9.090909090909092,0.0,23.52941176470588,1,0.0,0.0,0.0
test,LIS,Directly covered,CogAlign,22,66,10,15.151515151515152,5.0,28.57142857142857,1,6.0606060606060606,-4.545454545454546,16.666666666666664
test,LIS,Directly covered,ET-ATT,22,66,7,10.606060606060606,1.3888888888888888,23.076923076923077,1,1.5151515151515151,-3.9215686274509802,6.944444444444445
test,LIS,Proxy-completed from partial,TEXT,100,300,114,38.0,28.6231884057971,47.82608695652174,1,0.0,0.0,0.0
test,LIS,Proxy-completed from partial,CogAlign,100,300,144,48.0,38.82783882783883,57.348087021755425,1,10.0,4.586856149187504,16.013071895424837
test,LIS,Proxy-completed from partial,ET-ATT,100,300,129,43.0,33.33333333333333,52.4822695035461,1,5.0,1.2458174685589019,9.14468737347446
test,LIS,Proxy-incomplete,TEXT,4,12,6,50.0,0.0,100.0,0,0.0,0.0,0.0
test,LIS,Proxy-incomplete,CogAlign,4,12,6,50.0,0.0,100.0,0,0.0,0.0,0.0
test,LIS,Proxy-incomplete,ET-ATT,4,12,4,33.333333333333336,0.0,66.66666666666666,0,-16.666666666666668,-33.33333333333333,0.0
test,PMC,Proxy-completed from partial,TEXT,30,90,35,38.888888888888886,22.725757575757576,56.32252326217842,1,0.0,0.0,0.0
test,PMC,Proxy-completed from partial,CogAlign,30,90,40,44.44444444444444,29.03225806451613,61.46033653846151,1,5.555555555555555,-1.9047619047619049,11.594202898550725
test,PMC,Proxy-completed from partial,ET-ATT,30,90,31,34.44444444444444,20.37037037037037,49.58333333333318,1,-4.444444444444445,-15.238095238095239,3.8095238095238098
test,PMC,Directly covered,TEXT,15,45,15,33.333333333333336,16.646825396825413,52.38095238095239,0,0.0,0.0,0.0
test,PMC,Directly covered,CogAlign,15,45,17,37.77777777777778,15.151515151515152,61.40350877192983,0,4.444444444444445,-6.666666666666667,14.290890269151062
test,PMC,Directly covered,ET-ATT,15,45,16,35.55555555555556,14.814814814814813,58.333333333333336,0,2.2222222222222223,-8.333333333333332,12.82051282051282
test,PMC,Proxy-completed from zero,TEXT,336,1008,320,31.746031746031747,26.97053872053872,36.666666666666664,1,0.0,0.0,0.0
test,PMC,Proxy-completed from zero,CogAlign,336,1008,386,38.29365079365079,33.61413494558395,43.080159748965904,1,6.5476190476190474,4.018209825603785,9.099616858237548
test,PMC,Proxy-completed from zero,ET-ATT,336,1008,353,35.01984126984127,29.94862637362638,40.37159469115114,1,3.2738095238095237,1.1560693641618496,5.520849309815951
test,PMC,Proxy-incomplete,TEXT,3,9,6,66.66666666666667,0.0,100.0,0,0.0,0.0,0.0
test,PMC,Proxy-incomplete,CogAlign,3,9,5,55.55555555555556,0.0,100.0,0,-11.11111111111111,-33.33333333333333,0.0
test,PMC,Proxy-incomplete,ET-ATT,3,9,6,66.66666666666667,0.0,100.0,0,0.0,0.0,0.0
validation,IEEE,Proxy-completed from zero,TEXT,367,1101,281,25.522252497729337,21.650282395566922,29.480459057071958,1,0.0,0.0,0.0
validation,IEEE,Proxy-completed from zero,CogAlign,367,1101,367,33.333333333333336,29.10927456382002,37.66957490053623,1,7.811080835603996,5.613126079447324,10.061023546556221
validation,IEEE,Proxy-completed from zero,ET-ATT,367,1101,373,33.87829246139873,29.618781552735708,38.24979447748924,1,8.356039963669392,6.095211713494261,10.651974288337925
validation,IEEE,Proxy-completed from partial,TEXT,65,195,50,25.641025641025642,16.176470588235293,36.232519705059744,1,0.0,0.0,0.0
validation,IEEE,Proxy-completed from partial,CogAlign,65,195,60,30.76923076923077,21.21212121212121,41.48218029350104,1,5.128205128205129,1.5625,9.230769230769232
validation,IEEE,Proxy-completed from partial,ET-ATT,65,195,54,27.692307692307693,17.90085817524842,38.38383838383838,1,2.051282051282051,-1.6129032258064515,6.018518518518518
validation,IEEE,Directly covered,TEXT,1,3,0,0.0,0.0,0.0,0,0.0,0.0,0.0
validation,IEEE,Directly covered,CogAlign,1,3,1,33.333333333333336,33.33333333333333,33.33333333333333,0,33.333333333333336,33.33333333333333,33.33333333333333
validation,IEEE,Directly covered,ET-ATT,1,3,2,66.66666666666667,66.66666666666666,66.66666666666666,0,66.66666666666667,66.66666666666666,66.66666666666666
validation,LIS,Proxy-completed from partial,TEXT,73,219,90,41.0958904109589,31.98198198198198,50.595238095238095,1,0.0,0.0,0.0
validation,LIS,Proxy-completed from partial,CogAlign,73,219,112,51.141552511415526,41.333333333333336,61.03286384976526,1,10.045662100456621,4.166666666666666,16.025641025641026
validation,LIS,Proxy-completed from partial,ET-ATT,73,219,91,41.55251141552512,32.075272669373454,51.55555555555556,1,0.45662100456621,-4.975124378109453,5.797101449275362
validation,LIS,Proxy-completed from zero,TEXT,391,1173,388,33.07757885763001,28.754922655581897,37.554998850239556,1,0.0,0.0,0.0
validation,LIS,Proxy-completed from zero,CogAlign,391,1173,512,43.648763853367434,39.38640132669983,48.00371402042711,1,10.571184995737426,7.852965747702589,13.31569664902998
validation,LIS,Proxy-completed from zero,ET-ATT,391,1173,406,34.612105711849956,30.17084432717678,39.210747271200674,1,1.5345268542199488,-0.4492666520968408,3.5294359122959524
validation,LIS,Directly covered,TEXT,14,42,7,16.666666666666668,3.7037037037037033,33.33333333333333,0,0.0,0.0,0.0
validation,LIS,Directly covered,CogAlign,14,42,12,28.571428571428573,9.523809523809524,50.0,0,11.904761904761905,-2.380952380952381,30.003968253968196
validation,LIS,Directly covered,ET-ATT,14,42,6,14.285714285714286,0.0,33.33333333333333,0,-2.380952380952381,-11.11111111111111,5.555555555555555
validation,LIS,Proxy-incomplete,TEXT,1,3,3,100.0,100.0,100.0,0,0.0,0.0,0.0
validation,LIS,Proxy-incomplete,CogAlign,1,3,3,100.0,100.0,100.0,0,0.0,0.0,0.0
validation,LIS,Proxy-incomplete,ET-ATT,1,3,2,66.66666666666667,66.66666666666666,66.66666666666666,0,-33.333333333333336,-33.33333333333333,-33.33333333333333
validation,PMC,Proxy-completed from zero,TEXT,414,1242,347,27.938808373590984,23.620253585809845,32.447718409871364,1,0.0,0.0,0.0
validation,PMC,Proxy-completed from zero,CogAlign,414,1242,442,35.587761674718195,31.265493879436445,40.016304961792024,1,7.648953301127214,5.542720666050087,9.73871733966746
validation,PMC,Proxy-completed from zero,ET-ATT,414,1242,410,33.011272141706925,28.400807330799374,37.85050190377293,1,5.072463768115942,3.355076622187898,6.901615271659324
validation,PMC,Proxy-completed from partial,TEXT,63,189,74,39.15343915343915,27.87833559475351,51.32275132275132,1,0.0,0.0,0.0
validation,PMC,Proxy-completed from partial,CogAlign,63,189,85,44.973544973544975,33.89830508474576,56.284153005464475,1,5.8201058201058204,0.0,10.909352142110759
validation,PMC,Proxy-completed from partial,ET-ATT,63,189,82,43.386243386243386,31.60919540229885,55.172413793103445,1,4.232804232804233,-1.4925373134328357,10.062893081761008
validation,PMC,Directly covered,TEXT,13,39,5,12.820512820512821,0.0,33.33333333333333,0,0.0,0.0,0.0
