split,domain,phrase_type,system,n_gold_occurrences,gold_occurrence_seed_cells,recovered_seed_cells,recovery_rate_percent,recovery_ci_lower_percent,recovery_ci_upper_percent,minimum_n_met,delta_vs_text_pp,delta_ci_lower_pp,delta_ci_upper_pp
test,IEEE,Modifier-noun phrase,TEXT,105,315,95,30.158730158730158,22.448979591836736,38.095238095238095,1,0.0,0.0,0.0
test,IEEE,Modifier-noun phrase,CogAlign,105,315,117,37.142857142857146,29.411764705882355,45.370370370370374,1,6.984126984126984,2.536231884057971,11.827956989247312
test,IEEE,Modifier-noun phrase,ET-ATT,105,315,123,39.04761904761905,31.11064425770308,47.191176958006025,1,8.88888888888889,4.313725490196078,13.939393939393941
test,IEEE,Noun compound,TEXT,194,582,163,28.006872852233677,22.33051511964724,34.074074074074076,1,0.0,0.0,0.0
test,IEEE,Noun compound,CogAlign,194,582,188,32.302405498281786,26.375404530744333,38.50597046036567,1,4.29553264604811,1.530612244897959,7.317073170731707
test,IEEE,Noun compound,ET-ATT,194,582,189,32.47422680412371,26.22410232359137,38.83161512027492,1,4.4673539518900345,1.4814814814814816,7.624113475177305
test,IEEE,Single-word term,TEXT,62,186,18,9.67741935483871,4.165380658436215,16.091954022988507,1,0.0,0.0,0.0
test,IEEE,Single-word term,CogAlign,62,186,34,18.27956989247312,11.29032258064516,26.027397260273972,1,8.602150537634408,4.57516339869281,13.115168074184462
test,IEEE,Single-word term,ET-ATT,62,186,37,19.892473118279568,11.574074074074074,29.560002028809084,1,10.21505376344086,4.838709677419355,16.67253521126752
test,IEEE,Technical-form / other,TEXT,106,318,59,18.553459119496857,12.28028798411122,25.163565426170464,1,0.0,0.0,0.0
test,IEEE,Technical-form / other,CogAlign,106,318,75,23.58490566037736,16.507859454461393,30.977020202020192,1,5.031446540880503,1.1695906432748537,9.220016464032417
test,IEEE,Technical-form / other,ET-ATT,106,318,76,23.89937106918239,16.831683168316832,31.41025641025641,1,5.345911949685535,1.3774104683195594,9.411764705882353
test,LIS,Single-word term,TEXT,171,513,127,24.756335282651072,18.803418803418804,30.856064397731064,1,0.0,0.0,0.0
test,LIS,Single-word term,CogAlign,171,513,157,30.60428849902534,24.723937792990554,36.53501616363032,1,5.847953216374269,2.8089394835403114,8.876811594202898
test,LIS,Single-word term,ET-ATT,171,513,122,23.78167641325536,18.181818181818183,29.583333333333332,1,-0.9746588693957114,-3.3126293995859215,1.2612612612612613
test,LIS,Noun compound,TEXT,158,474,168,35.44303797468354,28.269918819552394,43.08403849344616,1,0.0,0.0,0.0
test,LIS,Noun compound,CogAlign,158,474,198,41.77215189873418,34.91222143195827,48.85851839246717,1,6.329113924050633,2.5973377919485703,10.05586592178771
test,LIS,Noun compound,ET-ATT,158,474,181,38.18565400843882,30.85568099155056,46.009389671361504,1,2.742616033755274,0.0,5.6374892853316165
test,LIS,Modifier-noun phrase,TEXT,80,240,117,48.75,39.130434782608695,58.108108108108105,1,0.0,0.0,0.0
test,LIS,Modifier-noun phrase,CogAlign,80,240,132,55.0,45.539906103286384,64.39426040061633,1,6.25,1.4925373134328357,11.11111111111111
test,LIS,Modifier-noun phrase,ET-ATT,80,240,124,51.666666666666664,41.29339099954772,61.80631038647342,1,2.9166666666666665,-0.8888888888888888,6.810035842293908
test,LIS,Technical-form / other,TEXT,44,132,33,25.0,13.978494623655912,37.634408602150536,1,0.0,0.0,0.0
test,LIS,Technical-form / other,CogAlign,44,132,54,40.90909090909091,26.797385620915033,57.247509057971,1,15.909090909090908,8.130081300813007,25.185185185185183
test,LIS,Technical-form / other,ET-ATT,44,132,37,28.03030303030303,16.129032258064516,41.41414141414141,1,3.0303030303030303,-1.8018018018018018,9.523809523809524
