system,domain,seeds,documents,precision_percent,recall_percent,f1_percent,f1_sd_percent
CA-FFD,IEEE,42/52/62,205,22.5597328573878,28.855721393034827,25.293612185710543,2.212038046393085
CA-FFD,LIS,42/52/62,202,28.340826788095004,42.51913709116214,33.920983887436,1.304920364453584
CA-FFD,Overall,42/52/62,533,27.574389093007397,37.612612612612615,31.799830136754792,0.4836082937190276
CA-FFD,PMC,42/52/62,126,32.48613614623209,42.1875,36.68136815117779,2.0601021827350885
CA-FIXPROP,IEEE,42/52/62,205,24.051995314433128,28.571428571428573,25.979524674975895,1.7502525653829732
CA-FIXPROP,LIS,42/52/62,202,31.908355082397843,36.186499652052895,33.59057304133126,1.7118529966546314
CA-FIXPROP,Overall,42/52/62,533,29.00001076225111,35.83583583583583,32.05698078443431,0.6791552413388239
CA-FIXPROP,PMC,42/52/62,126,31.677034141330562,44.270833333333336,36.92647520863777,0.6112278185521227
CA-GPT,IEEE,42/52/62,205,22.244263762543792,30.845771144278604,25.842744286095893,1.9600844967361313
CA-GPT,LIS,42/52/62,202,29.372071813973434,42.44954766875435,34.44382447167581,0.41819237646395235
CA-GPT,Overall,42/52/62,533,27.755283937511695,36.886886886886884,31.664981095702004,0.8006387795229237
CA-GPT,PMC,42/52/62,126,34.81520447845693,37.32638888888889,35.61208996081856,0.8084254003483963
CA-NFIX,IEEE,42/52/62,205,23.549420801738574,29.92181947405828,26.330377144330637,1.3350779122461103
CA-NFIX,LIS,42/52/62,202,30.25087415403816,39.66597077244259,34.193796766027255,2.005842988767262
CA-NFIX,Overall,42/52/62,533,28.416869570659827,37.23723723723723,32.23408696218789,0.6696635072751914
CA-NFIX,PMC,42/52/62,126,31.89444482747165,43.14236111111111,36.5975772729089,0.9571182723999242
CA-TRT,IEEE,42/52/62,205,23.86115170793859,28.713574982231695,25.9282429525621,1.465860658834467
CA-TRT,LIS,42/52/62,202,30.51158333931382,38.274182324286706,33.7625452476164,0.3416320457874188
CA-TRT,Overall,42/52/62,533,29.254239031983033,35.210210210210214,31.90809869828526,1.0534966317914327
CA-TRT,PMC,42/52/62,126,35.20401412266195,39.322916666666664,36.93519994846298,2.2391884363110544
CogAlign,IEEE,42/52/62,205,23.34050469754203,29.42430703624733,26.006376434681655,0.9299985663556208
CogAlign,LIS,42/52/62,202,28.958100379528997,38.76130828114126,32.984270898907425,0.41620951031701164
CogAlign,Overall,42/52/62,533,28.207380140134457,35.51051051051051,31.40695317861885,0.2383853280788259
CogAlign,PMC,42/52/62,126,34.122958957577,38.888888888888886,36.21253682735398,1.1093280153238794
ET-ATT-5D,IEEE,42/52/62,205,23.95189177851357,30.206112295664536,26.67712355013606,1.0656957007457932
ET-ATT-5D,LIS,42/52/62,202,36.1030233512229,33.05497564370216,34.39029604150289,1.773992931435425
ET-ATT-5D,Overall,42/52/62,533,31.56731599272814,32.682682682682675,32.08979852016427,0.7565964274196106
ET-ATT-5D,PMC,42/52/62,126,39.533141555795275,35.24305555555556,36.978431754104314,0.4954008891880004
ET-ATT-FFD,IEEE,42/52/62,205,26.2435509662933,28.855721393034823,27.481201166154715,0.40267699515140215
ET-ATT-FFD,LIS,42/52/62,202,35.422152922152925,35.838552540013914,35.40862206307265,1.356379151112236
ET-ATT-FFD,Overall,42/52/62,533,32.72591047946943,31.23123123123123,31.910193505230605,1.822497258913688
ET-ATT-FFD,PMC,42/52/62,126,40.61047008223877,28.385416666666668,33.11834883862906,6.329857052299673
ET-ATT-FIXPROP,IEEE,42/52/62,205,24.567795801846938,27.29211087420042,25.846036342524087,1.7013698640236006
ET-ATT-FIXPROP,LIS,42/52/62,202,35.88872605464252,33.82045929018789,34.78372178335778,0.7206347838718243
ET-ATT-FIXPROP,Overall,42/52/62,533,32.2276965518385,30.28028028028028,31.208727812298378,2.0992346247808156
ET-ATT-FIXPROP,PMC,42/52/62,126,40.62753036437247,29.513888888888886,33.92091880463973,6.054154145664732
ET-ATT-GPT,IEEE,42/52/62,205,24.726366880772805,26.083866382373845,25.178581052928042,2.597896657620525
ET-ATT-GPT,LIS,42/52/62,202,36.77827761708474,32.5678496868476,34.395523215413945,1.100242781878395
ET-ATT-GPT,Overall,42/52/62,533,32.698877136741416,31.906906906906908,32.08078311634754,1.7137865980365599
ET-ATT-GPT,PMC,42/52/62,126,38.358877887326166,38.19444444444444,37.96173520489567,1.7092012312872826
ET-ATT-NFIX,IEEE,42/52/62,205,24.434673524148252,29.70859985785359,26.750093694937757,1.0267203243503524
ET-ATT-NFIX,LIS,42/52/62,202,34.05275328980901,36.11691022964509,34.91287217467757,1.1009900962701573
ET-ATT-NFIX,Overall,42/52/62,533,31.553004100260726,33.433433433433436,32.39590788673084,0.6811579895954187
ET-ATT-NFIX,PMC,42/52/62,126,40.38035499527313,34.635416666666664,37.11598331888187,1.6438848193089088
ET-ATT-TRT,IEEE,42/52/62,205,24.270579805602946,28.784648187633262,26.304630291229955,1.1165364933165784
ET-ATT-TRT,LIS,42/52/62,202,36.73434080584722,33.194154488517746,34.669189627629486,0.7137183984490215
