system,domain,seeds,documents,precision_percent,recall_percent,f1_percent,f1_sd_percent
CA-FFD,Overall,42/52/62,533,27.574389093007397,37.612612612612615,31.799830136754792,0.4836082937190276
CA-FIXPROP,Overall,42/52/62,533,29.00001076225111,35.83583583583583,32.05698078443431,0.6791552413388239
CA-GPT,Overall,42/52/62,533,27.755283937511695,36.886886886886884,31.664981095702004,0.8006387795229237
CA-NFIX,Overall,42/52/62,533,28.416869570659827,37.23723723723723,32.23408696218789,0.6696635072751914
CA-TRT,Overall,42/52/62,533,29.254239031983033,35.210210210210214,31.90809869828526,1.0534966317914327
CogAlign,Overall,42/52/62,533,28.207380140134457,35.51051051051051,31.40695317861885,0.2383853280788259
ET-ATT-5D,Overall,42/52/62,533,31.56731599272814,32.682682682682675,32.08979852016427,0.7565964274196106
ET-ATT-FFD,Overall,42/52/62,533,32.72591047946943,31.23123123123123,31.910193505230605,1.822497258913688
ET-ATT-FIXPROP,Overall,42/52/62,533,32.2276965518385,30.28028028028028,31.208727812298378,2.0992346247808156
ET-ATT-GPT,Overall,42/52/62,533,32.698877136741416,31.906906906906908,32.08078311634754,1.7137865980365599
ET-ATT-NFIX,Overall,42/52/62,533,31.553004100260726,33.433433433433436,32.39590788673084,0.6811579895954187
ET-ATT-TRT,Overall,42/52/62,533,32.27638888704539,31.581581581581577,31.883920994215263,0.3938308010505767
