left,right,delta_f1_pp,ci_low_pp,ci_high_pp,bootstrap_p_two_sided,replicates,unit,family,holm_p,holm_significant_0_05
CogAlign-5D,TEXT,0.4256162491440618,-0.684943071302963,1.525282209324028,0.43655634436556345,10000,paired_document_stratified_by_domain_seed_mean_within_replicate,primary_full_model,0.43655634436556345,False
ET-ATT-5D,TEXT,1.1084615906894801,0.10275432274758205,2.1245086692662745,0.030796920307969204,10000,paired_document_stratified_by_domain_seed_mean_within_replicate,primary_full_model,0.0923907609239076,False
ET-ATT-5D,CogAlign-5D,0.6828453415454183,-0.2984591844437309,1.651911020362886,0.17938206179382063,10000,paired_document_stratified_by_domain_seed_mean_within_replicate,primary_full_model,0.35876412358764126,False
CA-NFIX,TEXT,1.2527500327130958,0.10355314541598787,2.4328294119285334,0.032996700329967,10000,paired_document_stratified_by_domain_seed_mean_within_replicate,cogalign_sufficiency,0.164983501649835,False
CA-FFD,TEXT,0.8184932072800077,-0.343350110033053,1.9986047535845726,0.17198280171982802,10000,paired_document_stratified_by_domain_seed_mean_within_replicate,cogalign_sufficiency,0.34396560343965604,False
CA-GPT,TEXT,0.6836441662272152,-0.47493675171682204,1.8766678184043661,0.2525747425257474,10000,paired_document_stratified_by_domain_seed_mean_within_replicate,cogalign_sufficiency,0.34396560343965604,False
CA-TRT,TEXT,0.9267617688104746,-0.19518030711878281,2.042284443199953,0.09979002099790021,10000,paired_document_stratified_by_domain_seed_mean_within_replicate,cogalign_sufficiency,0.2993700629937006,False
CA-FIXPROP,TEXT,1.0756438549595182,0.04724934142290127,2.138225337472453,0.042195780421957804,10000,paired_document_stratified_by_domain_seed_mean_within_replicate,cogalign_sufficiency,0.16878312168783122,False
ET-ATT-NFIX,TEXT,1.4145709572560505,0.35959440346981036,2.469173176788307,0.008799120087991202,10000,paired_document_stratified_by_domain_seed_mean_within_replicate,etatt_sufficiency,0.04399560043995601,True
ET-ATT-FFD,TEXT,0.9288565757558154,-0.13860517227381944,1.9995122955830529,0.08959104089591041,10000,paired_document_stratified_by_domain_seed_mean_within_replicate,etatt_sufficiency,0.25137486251374863,False
ET-ATT-GPT,TEXT,1.0994461868727545,0.0481563457022548,2.182470470681081,0.039996000399960006,10000,paired_document_stratified_by_domain_seed_mean_within_replicate,etatt_sufficiency,0.15998400159984003,False
ET-ATT-TRT,TEXT,0.9025840647404748,-0.11450566377396929,1.9181213464127975,0.0837916208379162,10000,paired_document_stratified_by_domain_seed_mean_within_replicate,etatt_sufficiency,0.25137486251374863,False
ET-ATT-FIXPROP,TEXT,0.227390882823586,-0.7279167129616261,1.1643044088504184,0.6405359464053595,10000,paired_document_stratified_by_domain_seed_mean_within_replicate,etatt_sufficiency,0.6405359464053595,False
CA-NFIX,CogAlign-5D,0.827133783569034,-0.04826455672518201,1.675264382378803,0.06519348065193481,10000,paired_document_stratified_by_domain_seed_mean_within_replicate,cogalign_retention,0.32596740325967405,False
CA-FFD,CogAlign-5D,0.3928769581359459,-0.45443577316512723,1.2535298702209698,0.36776322367763226,10000,paired_document_stratified_by_domain_seed_mean_within_replicate,cogalign_retention,0.7355264473552645,False
CA-GPT,CogAlign-5D,0.2580279170831534,-0.6025500698858253,1.1245206307898805,0.5509449055094491,10000,paired_document_stratified_by_domain_seed_mean_within_replicate,cogalign_retention,0.7355264473552645,False
CA-TRT,CogAlign-5D,0.5011455196664127,-0.2983865775968925,1.3443190646448233,0.22277772222777723,10000,paired_document_stratified_by_domain_seed_mean_within_replicate,cogalign_retention,0.6683331666833316,False
CA-FIXPROP,CogAlign-5D,0.6500276058154564,-0.20705384268978164,1.4969489908760987,0.13538646135386462,10000,paired_document_stratified_by_domain_seed_mean_within_replicate,cogalign_retention,0.5415458454154585,False
ET-ATT-NFIX,ET-ATT-5D,0.3061093665665704,-0.5248944784150141,1.165677013607743,0.46915308469153083,10000,paired_document_stratified_by_domain_seed_mean_within_replicate,etatt_retention,1.0,False
ET-ATT-FFD,ET-ATT-5D,-0.17960501493366476,-1.0519826069137204,0.7037228004048449,0.6865313468653135,10000,paired_document_stratified_by_domain_seed_mean_within_replicate,etatt_retention,1.0,False
ET-ATT-GPT,ET-ATT-5D,-0.009015403816725609,-0.9337115212534817,0.8785159977147785,0.9767023297670233,10000,paired_document_stratified_by_domain_seed_mean_within_replicate,etatt_retention,1.0,False
ET-ATT-TRT,ET-ATT-5D,-0.20587752594900532,-0.980432124958455,0.5756578452023406,0.6075392460753924,10000,paired_document_stratified_by_domain_seed_mean_within_replicate,etatt_retention,1.0,False
ET-ATT-FIXPROP,ET-ATT-5D,-0.8810707078658941,-1.6831407871526176,-0.06218672943365101,0.03519648035196481,10000,paired_document_stratified_by_domain_seed_mean_within_replicate,etatt_retention,0.17598240175982405,False
CogAlign,L70B-TA,10.330607746829115,8.159376117351517,12.546677259345401,0.00019998000199980003,10000,paired_document_stratified_by_domain_seed_mean_within_replicate,llm_same_set,0.0007999200079992001,True
ET-ATT-5D,L70B-TA,11.013453088374533,8.724876362160225,13.297796422179934,0.00019998000199980003,10000,paired_document_stratified_by_domain_seed_mean_within_replicate,llm_same_set,0.0007999200079992001,True
CogAlign,Q9B-TA,16.413506258566425,14.104574018100728,18.718108668616047,0.00019998000199980003,10000,paired_document_stratified_by_domain_seed_mean_within_replicate,llm_same_set,0.0007999200079992001,True
ET-ATT-5D,Q9B-TA,17.096351600111845,14.62864681887025,19.505698785154156,0.00019998000199980003,10000,paired_document_stratified_by_domain_seed_mean_within_replicate,llm_same_set,0.0007999200079992001,True
